,Open,High,Low,Close,Volume
2014-10-02,24.825,25.055,24.51,24.81,1788808
2014-10-03,24.8125,25.0525,24.75,24.915,1623472
2014-10-06,24.905,25.1625,24.7975,24.8575,1383056
2014-10-07,24.8575,25.03,24.6675,24.7,1548392
2014-10-08,24.6375,25.2775,24.5625,25.195,2148088
2014-10-09,25.235,25.595,25.125,25.1875,2855972
2014-10-10,25.2275,25.5075,25.01,25.2125,2483908
2014-10-13,25.0975,25.445,24.905,24.9875,1987980
2014-10-14,25.055,25.1625,24.6425,24.82,2360604
2014-10-15,24.7525,24.875,23.795,24.2425,3705412
2014-10-16,24.2525,24.43,23.4375,24.0525,2677976
2014-10-17,24.185,24.75,24.1375,24.5325,2516984
2014-10-20,24.6875,25.435,24.5025,25.3175,2825780
2014-10-21,25.525,25.7875,25.2,25.5625,3429072
2014-10-22,25.62,26.0275,25.5,25.7825,2543168
2014-10-23,25.7825,26.2625,25.675,26.2475,2618468
2014-10-24,26.2025,26.3725,26.1325,26.3125,1714760
2014-10-27,26.315,26.4,26.165,26.2675,1230892
2014-10-28,26.1725,26.6875,26.1725,26.6225,1730680
2014-10-29,26.62,26.8425,26.59,26.7875,1915372
2014-10-30,26.8,26.85,26.475,26.775,1510856
2014-10-31,26.75,27.5,26.6625,27.0,1640992
2014-11-03,27.0,27.475,26.9375,27.3125,1813720
2014-11-04,27.4225,27.48,26.93,27.1525,1461940
2014-11-05,27.225,27.3375,27.0325,27.2225,1211976
2014-11-06,27.125,27.1975,26.95,27.19,1251684
2014-11-07,27.1925,27.33,26.93,27.26,1110888
2014-11-10,27.2525,27.3325,27.0075,27.165,965600
2014-11-11,27.1875,27.48,26.95,27.4275,1004160
2014-11-12,27.35,27.8575,27.2075,27.8475,1711532
2014-11-13,27.875,28.3625,27.62,28.245,2193816
2014-11-14,28.215,28.6,28.0625,28.6,1595556
2014-11-17,28.475,28.7725,28.325,28.4325,3461152
2014-11-18,28.4425,28.9225,28.375,28.855,1607796
2014-11-19,28.8475,28.935,28.45,28.6825,1442976
2014-11-20,27.5,29.215,27.5,29.1075,1604988
2014-11-21,29.1525,29.42,28.935,29.0675,1951020
2014-11-24,29.15,29.7,29.08,29.6925,1752640
2014-11-25,29.6825,29.9375,29.3625,29.4325,2482780
2014-11-26,29.5,29.7875,29.4,29.785,1495380
2014-11-28,29.7875,29.8675,29.5125,29.71,929640
2014-12-01,29.625,29.8475,27.8175,28.75,3090048
2014-12-02,28.775,28.995,28.1875,28.625,2065508
2014-12-03,28.6475,29.0875,28.51,29.005,1587008
2014-12-04,29.0375,29.3,28.8125,28.8575,1555812
2014-12-05,28.9125,29.05,28.66,28.75,1438572
2014-12-08,28.6875,28.815,27.905,28.16,2129764
2014-12-09,28.0875,28.575,27.3375,28.55,2203156
2014-12-10,28.59,28.7125,27.885,27.97,1616136
2014-12-11,28.05,28.45,27.785,27.8325,1514680
2014-12-12,27.7775,28.0125,27.395,27.4375,2023152
2014-12-15,27.5,27.9,26.5875,27.0525,2470792
2014-12-16,26.975,27.54,26.525,26.725,2241908
2014-12-17,26.8,27.46,26.6875,27.4375,1953464
2014-12-18,27.265,28.2175,27.265,28.1975,2124684
2014-12-19,28.1375,28.3475,27.9,27.9625,3359000
2014-12-22,28.0925,28.3725,27.945,28.1775,1646052
2014-12-23,28.1875,28.3625,28.11,28.145,972816
2014-12-24,28.135,28.245,27.9975,28.005,537172
2014-12-26,28.0875,28.63,28.0025,28.535,1259804
2014-12-29,28.55,28.6925,28.4125,28.5125,1020372
2014-12-30,28.36,28.4975,28.0275,28.1375,1091404
2014-12-31,28.2225,28.2825,27.0675,27.675,1558364
2015-01-02,27.75,27.875,26.8375,27.2825,1971772
2015-01-05,27.3225,27.3925,26.3525,26.59,2410812
2015-01-06,26.5,26.8575,26.1575,26.645,2425956
2015-01-07,26.6875,27.05,26.6375,27.0375,1452440
2015-01-08,27.0475,28.1425,26.9375,28.0875,2189668
2015-01-09,28.0975,28.3125,27.5525,27.9775,1997676
2015-01-12,28.1,28.3,27.2,27.33,1823164
2015-01-13,27.435,28.2,27.2275,27.575,2511420
2015-01-14,27.5425,27.675,27.125,27.495,1818492
2015-01-15,27.645,27.665,26.54,26.55,2202740
2015-01-16,26.65,26.895,26.3,26.5,2464004
2015-01-20,26.755,27.31,26.5375,27.295,1828180
2015-01-21,27.2975,27.765,27.0675,27.3475,1777924
2015-01-22,27.46,28.1175,27.3,28.0525,1977240
2015-01-23,28.1,28.4375,27.8825,28.235,1692164
2015-01-26,28.1375,28.5925,28.1375,28.37,2088768
2015-01-27,28.4,29.115,27.2575,28.85,3533772
2015-01-28,28.87,29.8125,28.575,28.9325,5386808
2015-01-29,28.9275,29.8325,28.775,29.7625,3071568
2015-01-30,29.725,30.0,29.2125,29.3175,3030256
2015-02-02,29.4375,29.7925,29.02,29.5375,2308652
2015-02-03,29.66,29.7725,29.4025,29.6,1914952
2015-02-04,29.5975,30.1275,29.4925,29.83,2589952
2015-02-05,29.84,30.0575,29.81,29.9725,1509136
2015-02-06,29.95,30.0625,29.6125,29.7075,1618528
2015-02-09,29.6875,29.985,29.5,29.975,1430064
2015-02-10,29.9125,30.555,29.825,30.555,2307016
2015-02-11,30.505,31.3125,30.495,31.2975,2664096
2015-02-12,31.375,31.87,31.1325,31.555,2761068
2015-02-13,31.59,31.8275,31.4125,31.8075,1902580
2015-02-17,31.65,32.22,31.5875,31.915,2245424
2015-02-18,32.1125,32.195,31.84,32.155,1647672
2015-02-19,32.1475,32.2575,32.0825,32.14,1351184
2015-02-20,32.18,32.3775,32.0125,32.3775,1770724
2015-02-23,32.47,33.285,32.4075,33.285,2434644
2015-02-24,33.33,33.415,32.7925,32.95,2497496
2015-02-25,32.9675,33.05,32.0375,32.16,2715864
2015-02-26,32.15,32.7175,31.6525,32.5575,3271996
2015-02-27,32.5975,32.6675,32.06,32.1125,2252084
2015-03-02,31.3525,32.57,31.3525,32.25,1766768
2015-03-03,32.25,32.38,32.0225,32.2725,1350540
2015-03-04,32.34,32.39,32.0625,32.11,1141540
2015-03-05,32.165,32.2475,31.44,31.5375,2047812
2015-03-06,31.5625,32.4625,31.5625,31.7625,2586448
2015-03-09,32.0025,32.3925,31.265,31.77,3253664
2015-03-10,31.7625,32.0,30.95,31.18,2402228
2015-03-11,30.875,31.3,30.5275,30.58,2504048
2015-03-12,30.7475,31.225,30.4075,31.21,1759204
2015-03-13,31.2,31.35,30.645,30.8675,1847852
2015-03-16,30.9075,31.2375,30.7175,31.195,1293952
2015-03-17,31.3125,31.83,31.05,31.7925,1862348
2015-03-18,31.775,32.29,31.5925,32.195,2422620
2015-03-19,32.0,32.3125,31.825,31.835,1677752
2015-03-20,31.92,32.1,31.29,31.6325,1915220
2015-03-23,31.595,31.9625,31.5825,31.81,1346928
2015-03-24,31.925,32.01,31.64,31.72,1188668
2015-03-25,31.75,31.765,30.845,30.9125,1849356
2015-03-26,30.7375,31.22,30.2,31.1225,1724232
2015-03-27,31.125,31.2,30.7275,30.775,1435668
2015-03-30,30.7725,31.615,30.7725,31.6125,1544884
2015-03-31,31.5875,31.6225,31.0875,31.1325,1503416
2015-04-01,31.0775,31.28,30.775,31.135,1479496
2015-04-02,31.055,31.39,31.025,31.325,1175928
2015-04-06,31.25,31.885,31.0825,31.8625,2622728
2015-04-07,31.825,32.04,31.4125,31.435,1282432
2015-04-08,32.5,32.5,31.2425,31.45,1366624
2015-04-09,31.4125,31.7125,31.165,31.675,1176148
2015-04-10,31.5625,31.8025,31.2625,31.775,1446892
2015-04-13,31.775,32.1425,31.6525,31.7375,1319748
2015-04-14,31.8375,31.8525,31.4775,31.5925,923580
2015-04-15,31.68,31.7825,31.5025,31.72,1044536
2015-04-16,31.65,31.775,31.5275,31.66,979828
2015-04-17,31.6825,31.7,31.1025,31.1675,1658092
2015-04-20,31.3475,32.03,31.2925,31.9225,3460512
2015-04-21,32.0,32.1225,31.6675,31.725,1175380
2015-04-22,31.72,32.2175,31.55,32.1125,1382200
2015-04-23,32.0025,32.605,31.965,32.52,1665484
2015-04-24,32.625,32.6625,32.3075,32.64,1572252
2015-04-27,32.725,33.9975,32.4875,33.6,3002764
2015-04-28,33.6375,34.05,32.3925,32.5675,4351020
2015-04-29,32.655,32.8975,31.82,31.9525,2164384
2015-04-30,31.9525,32.275,31.145,31.32,2968940
2015-05-01,31.3925,32.5325,31.305,32.2625,2077216
2015-05-04,32.33,32.6425,32.065,32.1875,1797312
2015-05-05,32.2,32.245,31.445,31.4625,1794672
2015-05-06,31.495,31.7275,30.84,31.2975,2554000
2015-05-07,31.995,31.995,30.85,31.34,1536700
2015-05-08,31.505,31.9125,31.375,31.86,1737820
